Kyadondo,Wakiso,Nansana Municipal Council,Nansana East Ward,Nansana East 1
Kyadondo,Wakiso,Nansana Municipal Council,Nansana East Ward,Nansana East 2
Kyadondo,Wakiso,Nansana Municipal Council,Nansana West Ward,Nansana West 1
Kyadondo,Wakiso,Nansana Municipal Council,Nansana West Ward,Nansana West 2
Kyadondo,Wakiso,Nansana Municipal Council,Nansana 7/8 Ward,7/8 Zone
Kyadondo,Wakiso,Nansana Municipal Council,Nansana 7/8 Ward,Ochieng Zone
Kyadondo,Wakiso,Nansana Municipal Council,Nabweru North,Nabweru Gombolola HQ
Kyadondo,Wakiso,Nansana Municipal Council,Kazo-Nabweru,Muganzirwazza
Kyadondo,Wakiso,Nansana Municipal Council,Kazo-Nabweru,Kazo-Central
Kyadondo,Wakiso,Nansana Municipal Council,Kazo-Nabweru,Nabweru South
Kyadondo,Wakiso,Nansana Municipal Council,Kazo-Nabweru,Nabweru North
Kyadondo,Wakiso,Nansana Municipal Council,Kazo-Nabweru,Lugoba North
Kyadondo,Wakiso,Wakiso,Kyebando,Gganda
Kyadondo,Wakiso,Wakiso,Kyebando,Kyebando
Kyadondo,Wakiso,Wakiso,Kyebando,Nsumbi
Kyadondo,Wakiso,Wakiso,Kyebando,Nasere
Kyadondo,Wakiso,Wakiso,Kyebando,Kabulengwa (Around Risah College Sch.)
Kyadondo,Wakiso,Wakiso,Kyebando,Kabulengwa (Next to Akright Estate)
Kyadondo,Wakiso,Nabweru,Wamala,Wamala
Kyadondo,Wakiso,Nabweru,Wamala,Katooke A
Kyadondo,Wakiso,Nabweru,Wamala,Katooke B
Kyadondo,Wakiso,Nabweru,Wamala,Jinja Kalori
Kyadondo,Wakiso,Nabweru,Wamala,Kisimu
Kyadondo,Wakiso,Nabweru,Maganjo,Ttula
Kyadondo,Wakiso,Nabweru,Maganjo,Kagoma
Kyadondo,Wakiso,Nabweru,Maganjo,Maganjo / Mawu
Kyadondo,Wakiso,Nabweru,Maganjo,Maganjo B
Kyadondo,Wakiso,Nabweru,Maganjo,Kijapani
